高校	高校[こうこう]  名 ⓪ ・ 高中
〜か月	〜か月[〜かげつ]  接尾 ・ ……個月
グラム	グラム  名 ①⓪ ・ 克，公克
〜さん	〜さん  接尾 ・ （表達敬意或親近感）……先生，……女士
〜ちゃん	〜ちゃん  接尾 ・ 小……
〜回	〜回[〜かい]  名 ・ ……回，次
〜階	〜階[〜かい]  接尾 ① ・ ……層，……樓
〜君	〜君[〜くん]  接尾 ・ （用於同輩或下級男性姓名後）小……
〜個	〜個[〜こ]  接尾 ・ （用於數小而圓的物體）……個
〜頃	〜頃[〜ごろ]  名 ・ 大概……，……左右，時期
〜冊	〜冊[〜さつ]  接尾 ・ （用來數筆記本，書本等）……冊，……本
時	時[じ]  造 ① ・ ……點（鐘）；……時候
〜人	〜人[〜にん]  接尾 ・ （量詞）……個人；（那個人所固有的性格、能力和經歷）……人
中	中[ちゅう]  名・接尾 ①⓪ ・ 正在……；中間，中
日	日[にち]  造 ・ ……號；……天；日本；星期日
〜番	〜番[〜ばん]  接尾 ・ （表達順序或序號）……號
〜匹	〜匹[〜ひき]  接尾 ・ （貓、狗、鳥、魚、蟲等小動物）……只，……條
分	分[ふん]  名 ① ・ ……分鐘
〜本	〜本[〜ほん]  接尾 ・ （細長物的）……支，把，瓶
〜枚	〜枚[〜まい]  接尾 ・ （紙、板、貨幣、盤子等薄而扁平的東西）……張，……枚
ああ	ああ  感 ① ・ （悲傷、快樂或驚訝時）啊，哎呀；（答應時）啊
あさって	あさって  名 ② ・ 後天
あそこ	あそこ  代 ⓪ ・ （指代遠處）那裡；（指代自己和對方都知道的地方）那裡
あちら	あちら  代 ⓪ ・ （遠處）那邊；那個人，那位
あっち	あっち  代 ③ ・ 那邊；那個人
あなた	あなた  代 ② ・ 你
あの	あの  連体 ⓪ ・ （指代遠處事物）那個；（指代自己和對方都知道的事物）那個
あのう	あのう  感 ⓪ ・ （帶著顧慮和猶豫的心情呼喚對方）不好意思，那個……
アパート	アパート  名 ② ・ 公寓
